name,lat,lon,open,close,province
ร้าน ช.แม้วลาบขอนแก่น,18.2672026,99.6567729,10:30,16:00,Lampang
ร้านเจ้นุชผัดไทยไฟลุก,18.279316,99.640852,6:00,16:00,Lampang
ข้าวมันไก่ห้วยคิง,18.3001386,99.6950203,"	
8:00",19:00,Lampang
สวนอาหารแม่เมาะปลาสด,18.2725293,99.6593325,"	
17:00",22:00,Lampang
ร้านเฮือนภูเกษม,18.2921484,99.6823147,"	
8:00",19:00,Lampang
ผัดไทเวียงสวรรค์,18.2639625,99.6464219,"	
8:00",19:00,Lampang
ร้านลาบลุงวาลย์,18.280205,99.641271,"	
7:00",19:00,Lampang
หมี่เกี๊ยวห้วยคิง,18.3003254,99.6980348,"	
16:00",1:00,Lampang
ผัดไท-อาหารตามสั่ง,18.3003034,99.6951815,10:00,20:00,Lampang
ร้านแม่ปุ๊ ก๋วยเตี๋ยวหัวมุม ซ.๔,18.2736117,99.6570102,"	
6:30",5:00,Lampang
ร้านอาหารแม่เมาะคลาสสิค,18.286324,99.6721344,"	
8:30",15:30,Lampang
ร้านอาหารเมาะลำเลิง,18.28154,99.664064,"	
8:30",15:31,Lampang
ร้าน ยำป่ะล่ะ,18.2639569,99.646413,"	
10:00",18:00,Lampang
ก๋วยเตี๋ยว ข้าวซอย ป้าไหม,18.2673121,99.6485536,8:00,20:00,Lampang
ก๋วยเตี๋ยวต้นทาง @ นครลำปาง,18.1260909,99.6244547,"	
8:00",16:00,Lampang
สวนช่างหล้า เวียงสวรรค์,18.2584928,99.6444573,"	
9:00",20:00,Lampang
ร้านตูบกะตัง ( Toob Ka Tang ),18.1091004,99.6325482,"	
9:00",20:00,Lampang
ร้านส้มตำคำหนุน,18.2749559,99.6492436,9:00,17:00,Lampang
ร้านก๋วยเตี๋ยวแม่ลมัย,18.2759941,99.64252,"	
10:30",15:30,Lampang
ร้านตำน่าน (พี่ทุม),18.2635601,99.6508113,"	
9:30",18:30,Lampang
ริมธาร คาเฟ่ : Rimthan Cafe’ Lampang,18.1730802,99.5501611,8:30,21:00,Lampang
ร้านก๋วยเตี๋ยว เฝอลาว,18.272621,99.6550529,"	
9:00",21:00,Lampang
ก๋วยเตี๋ยวเป็ดริมคลอง,18.2994736,99.6939455,"	
8:00",14:00,Lampang
ต้นแขมปิ้งย่าง,18.2988994,99.7009754,"	
15:00",21:00,Lampang
ก๋วยเตี๋ยวยายไร,18.2874227,99.6555391,"	
9:00",15:00,Lampang
PUN SPACE cafe’ ปันสเปซ,18.2199065,99.3958277,"	
9:30",21:00,Lampang
สวนส้มตำ,18.2146177,99.3899943,9:30,18:00,Lampang
ถ่อมกายคาเฟ่,18.1780157,99.3939458,"	
9:00",17:30,Lampang
ข้าวซอยเกาะคา,18.1945164,99.3936223,"	
8:00",15:00,Lampang
ก๋างต้ง Kang-Tong Cafe,18.0915848,99.3316626,"	
8:00",18:00,Lampang
Ko Kha Sushi,18.1887163,99.3944259,"	
11:00",19:30,Lampang
เดอะโคโค่นครลำปาง,18.1346086,99.3911447,"	
7:00",18:00,Lampang
ร้าน ลาบ หลู้ คนเมือง @ เกาะคา,18.1838246,99.3939786,11:00,20:00,Lampang
ข้าวซอยลำปางหลวง,18.2145538,99.3900146,"	
9:00",17:00,Lampang
ครัวบ้านอุดม,18.2135661,99.389495,"	
9:00",20:00,Lampang
