name,lat,lon,open,close,province
บ้านเบญจรงค์ ปาย Baan benjarong pai,19.3553667,98.4359218,8:00,18:00,Mae Hong Son
ร้านป้าเพ็ญ Pa Pen Restaurant,19.1929355,97.9833728,8:00,18:00,Mae Hong Son
สองพี่น้องหมูกระทะ,19.3038145,97.9750493,17:00,22:00,Mae Hong Son
ส้มตำป้าอุ้ย Somtam Pa Ui,19.3028082,97.9621924,7:00,15:00,Mae Hong Son
ร้านลาบหน้ากศน.,19.3043001,97.9732765,10:00,17:00,Mae Hong Son
ศรีวัยข้าวมันไก่,19.2926647,97.961477,7:00,15:00,Mae Hong Son
ร้านข้าวซอยซากุระ,19.2962331,97.9631806,8:00,17:00,Mae Hong Son
Na's Kitchen,19.3576199,98.4413778,17:00,23:00,Mae Hong Son
ป้าละซาวกั๊ด ร้านกะเพราที่อร่อยที่สุดในสามโลก,19.2987065,97.9639338,8:00,17:00,Mae Hong Son
ร้านข้าวราดแกงเพชรบุรี,19.284576,97.9612526,7:00,15:00,Mae Hong Son
ร้านอาหารอุ่นใจ,19.2445687,97.9416076,9:00,21:00,Mae Hong Son
Signature - ซิกเนเจอร์หมูกระทะ&หมูจุ่ม,19.28291,97.95824,17:00,22:00,Mae Hong Son
โรงกระเพรา,19.277313,97.9576683,10:00,21:00,Mae Hong Son
ร้านขนมจีน เสาร์ห้า Khanom Jin Sao Ha,19.2934268,97.9623675,7:00,15:00,Mae Hong Son
ร้้านอาหาร เลคไซด์ บาร์ แอนด์ เรสเตอร์รอง,19.299388,97.96483,9:30,19:00,Mae Hong Son
Che Jim Kha Mu Shop,19.292237,97.9647702,9:30,19:00,Mae Hong Son
ร้านชมวิวก๋วยเตี๋ยวห้อยขาบ้านห้วยโป่ง,19.0280662,97.9828792,7:00,16:00,Mae Hong Son
Nongluk,19.5724937,98.2764873,7:00,18:00,Mae Hong Son
The farm cafe - at pangmapha,19.5126692,98.2718879,9:00,17:00,Mae Hong Son
ก๋วยเตี๋ยวบ้านหิน,19.5173391,98.263237,8:00,17:30,Mae Hong Son
ม่านหมอกอาหารตามสั่ง - บ้านจ่าโม่,19.5820796,98.2061228,8:00,17:30,Mae Hong Son
ครัวนอร์ทเทอร์นฮิลล์,19.5171699,98.2626203,8:00,20:00,Mae Hong Son
ภูผาจันผา,19.5719346,98.2761816,8:00,19:00,Mae Hong Son
ครัวฮอมสุข ณ ฮ่องสอน,19.5156682,98.2507676,8:00,20:00,Mae Hong Son
กำแพงเพชรโภชนา KamphaengPhet PhoChaNa,19.5167827,98.2485733,8:00,18:00,Mae Hong Son
ก๋วยเตี๋ยวเรือกัลยา,19.516171,98.2538343,7:00,19:19,Mae Hong Son
ร้านอาหารริมทาง แพรรี่,19.5306165,98.2308022,16:00,0:00,Mae Hong Son
ครัวน้องนุ่น Khrua Nong Nun,19.5162878,98.2562098,8:00,22:00,Mae Hong Son
ก๋วยเตี๋ยวริมน้ำลาง,19.5284552,98.234513,8:00,18:00,Mae Hong Son
ครัวนาคือ บ้านจ่าโบ่,19.580485,98.2058633,8:00,18:00,Mae Hong Son
ส้มตำน้ำโขง - อาหารตามสั่งเครื่องดื่ม,19.5213298,98.2452117,9:00,21:00,Mae Hong Son
ร้านเเม่ครัวกรุงเทพ,19.5163824,98.2492834,6:00,20:00,Mae Hong Son
ร้านส้มตำนายี&โฮมสเตย์,19.5817304,98.2060419,9:00,17:00,Mae Hong Son
ร้านป้าทองอาหารตามสั่ง,19.5225491,98.2420241,7:00,20:00,Mae Hong Son
ร้านอาหารตามสั่ง A la carte shop,19.5297896,98.2328007,9:00,17:00,Mae Hong Son
ก๋วยเตี๋ยวป้าไร,19.5917343,98.2148123,8:00,17:00,Mae Hong Son
ก๋วยเตี๋ยวริมคลอง,19.5293581,98.2332056,8:00,17:00,Mae Hong Son
เมี่ยงปลาอบโอ่งนายหนุ่ม 1,19.5156104,98.2543323,15:00,19:00,Mae Hong Son
ตูบลาบ 99,19.5214019,98.2451279,8:00,17:00,Mae Hong Son
ร้านข้าวมันไก่สงขลา,19.5173731,98.2567754,8:00,17:00,Mae Hong Son
ชมวิวหมูกะทะ By Ranrom,19.5381403,98.2214999,17:00,22:00,Mae Hong Son
หม่าล่าต้าวหย่อง Mala Taw Yong,19.5163342,98.2562287,9:00,22:00,Mae Hong Son
Tid Doi Camp - ติดดอยแคมป์,19.5184689,98.2681671,8:00,17:00,Mae Hong Son
