name,lat,lon,province
ฮักแม่ลาน้อย คาเฟ่,18.3808396,97.9422003,Mae Hong Son
ชาพะยอมแม่ลาน้อย,18.3345679,97.9146981,Mae Hong Son
ร้านกาแฟมิตรไมตรี สาขาแม่ลาน้อย,18.3761978,97.941346,Mae Hong Son
ลานวิว กาแฟสด,18.6459982,97.9403218,Mae Hong Son
เฮิน Hern Cafe,18.3752376,97.9366003,Mae Hong Son
ชมวิวตะวัน,18.3482345,97.9819027,Mae Hong Son
Hom Dee Coffee ..By We Made..(RPK.21),18.3383608,97.920638,Mae Hong Son
Jai Yen House,18.3795641,97.9414379,Mae Hong Son
ร้านกาแฟยายทอง,18.3812053,97.9385516,Mae Hong Son
เมริ CHA สาขาแม่ลาน้อย,18.3793874,97.9414668,Mae Hong Son
บ้านปั้นแป้งเบเกอรี่ & P' Pooh Coffee Drink,18.5266681,97.932197,Mae Hong Son
สุขล้น COFFEE,18.1601093,97.9346538,Mae Hong Son
ร้าน HAPPY TIME กาแฟสดและน้ำปั่น,18.3829141,97.9506425,Mae Hong Son
กาแฟสดทหารม้า,18.3775403,97.9366769,Mae Hong Son
วิวตะวันกาแฟสด,18.3482534,97.9818972,Mae Hong Son
Hop chafe - ฮ็อป ชาเฟ่ สาขาแม่ลาน้อย,18.3763674,97.9417453,Mae Hong Son
ลอยฟ้าคาเฟ่&แคมป์ปิ้ง,18.3078742,98.1514913,Mae Hong Son
WiLa,18.3099065,97.9098907,Mae Hong Son
Ponucoffee,18.3764157,97.9417004,Mae Hong Son
Saolahu Coffee @ Jabo กาแฟ สาวลาหู่่​,19.5817567,98.2060272,Mae Hong Son
ระเบียงนาคอฟฟี่,18.0681671,97.9292842,Mae Hong Son
สุข คอฟฟี่ Sook Coffee Maesariang,18.1601811,97.9401755,Mae Hong Son
เสน่ห์กาแฟ Sane' Cafe,18.1575141,97.9309809,Mae Hong Son
Coffee House Maesaraing,18.1595416,97.9299383,Mae Hong Son
ณ.ล้านคำ(ร้านลุ่มเวียงเก่า),18.154831,97.9336195,Mae Hong Son
Snow White Coffee,18.1587113,97.9422485,Mae Hong Son
Ching Ching café Maesariang ชิงชิง คาเฟ่ แม่สะเรียง,18.1625594,97.9307787,Mae Hong Son
กาแฟพันธุ์ไทย แม่สะเรียง Punthai Cafe' MS,18.1431223,97.940318,Mae Hong Son
ออนเดอะเวย์คาเฟ่เชียงใหม่ สาขาแม่สะเรียง,18.1597748,97.9324156,Mae Hong Son
Sawadee Cafe & Bar,18.1618681,97.9295788,Mae Hong Son
Cafe De' Doising,18.1537093,98.0697215,Mae Hong Son
Relaxkuma Cafe',18.1590529,97.923666,Mae Hong Son
โรงคั่วกาแฟหอมเหาะ,18.1465113,98.0739443,Mae Hong Son
Café Amazon คาเฟ่อเมซอน ปตท.แม่สะเรียง,18.1664615,97.9375724,Mae Hong Son
Sookcoffee108 maesariang - กาแฟสุข108 แม่สะเรียง สาขา3,18.1670639,97.9364615,Mae Hong Son
CHUAN KIN,18.1860088,97.9210559,Mae Hong Son
ร้านต้นน้ำต้นกล้าคอฟฟี่,18.1618387,97.9308598,Mae Hong Son
พีแอนด์พี คอฟฟี่แอนด์รีสอร์ท แม่สะเรียง,18.1640194,97.931454,Mae Hong Son
OWL CHA อาวน์ชา แม่สะเรียง,18.1608503,97.938527,Mae Hong Son
Arzor cafe pol.msr (อาซ้อคาเฟ่ สภ.แม่สะเรียง),18.1584252,97.9304754,Mae Hong Son
ร้านบ้านนม Baan nom,18.1708593,97.9310771,Mae Hong Son
กาแฟสด ภูสะเรียง,18.1638764,97.9552318,Mae Hong Son
RockStar Cafe' ร็อคสตาร์ คาเฟ่,18.1735995,97.9322727,Mae Hong Son
คุณแจง คาเฟ่,18.1631128,97.9312394,Mae Hong Son
GLOSS,18.1756433,97.9302477,Mae Hong Son
Riverhouse-The Teak House ริเวอร์เฮ้าส์โฮเท็ล (บ้านไม้),18.1616604,97.9292455,Mae Hong Son
Pavinee cafe,18.1669073,97.9356893,Mae Hong Son
โกโก้ร้านไอ้ต้น สาขาแม่สะเรียง,18.1621465,97.9303214,Mae Hong Son
ร้านห้องนั่งเล่น,18.1571312,97.9303156,Mae Hong Son
Online cafe,18.141633,97.9406173,Mae Hong Son
LACTO BAR,18.1595527,97.9311225,Mae Hong Son
กาดเช้ากาแฟ,18.1582402,97.9286038,Mae Hong Son
กาแฟ สด เนอมูระ,18.1640994,98.0681648,Mae Hong Son
ชาลำดี CHA LUM DEE,18.1077103,97.9369971,Mae Hong Son
อิ่มบุญฮักกาแฟ,18.1604562,97.9362652,Mae Hong Son
302 Tea&Coffee,18.159531,97.9322875,Mae Hong Son
"""ชามะเก๋า"" เก๊าต้นโพธิ์หน้าวัดชัยลาภ",18.1744933,97.93077,Mae Hong Son
แม่สะเรียงครัวกันเอง,18.1639414,97.9312501,Mae Hong Son
กาแฟบ้านฉัน,18.157797,97.9196932,Mae Hong Son
PPRAW COFFEE,18.1936282,97.9228408,Mae Hong Son
ร้านต่าโอมู,18.1569789,97.930306,Mae Hong Son
ร้านน้ำป้าติ๊ก,18.1263803,97.9393809,Mae Hong Son
ชาอินดี้,18.144084,97.940148,Mae Hong Son
Hosanna Coffee,18.1596174,97.9318104,Mae Hong Son
เขยสาละวิน,18.1627286,97.8953503,Mae Hong Son
Teak Talk Cafe By Beyond Milk @Maesariang Boripat School,18.1805543,97.9292211,Mae Hong Son
Mae Ho Cafe & Bistro,18.1577473,98.0666938,Mae Hong Son
CAMP 29 CUP - Slowbar&Grill,18.1901948,97.9357697,Mae Hong Son
TA O MU Gallery&Life,18.1626766,97.9318664,Mae Hong Son
LACTO BAR,18.1608439,97.9373359,Mae Hong Son
ผู้ชายขายน้ำ,18.1656629,97.9383891,Mae Hong Son
ร้านน้ำMellow,18.1625075,97.9310279,Mae Hong Son
เปิ่น กาแฟโบราณ บ้านนาคาว แม่สะเรียง,18.1563648,97.9415148,Mae Hong Son
ร้านชงชาแม่สะเรียง Shong cha Browssugar,18.1622815,97.9403954,Mae Hong Son
ร้านกาแฟโบราณนักวิ่งสบเมย,17.9950798,97.9229111,Mae Hong Son
Caffe Bruno,18.1602084,97.9356963,Mae Hong Son
กาแฟ ปกาเกอะญอ,18.1426983,98.1144439,Mae Hong Son
หอมละมุน,18.1437733,97.9401439,Mae Hong Son
ร้านห้วยเคิงคอฟฟี่,18.0415395,97.9300378,Mae Hong Son
น้องน่านกาแฟเล่าขวัญ,18.1486316,97.9398795,Mae Hong Son
ร้านเขยสาละวิน2,18.1614903,97.9307364,Mae Hong Son
