name,lat,lon,province
Blue Coffee At Old Town,18.7881993,98.9887018,Chiang Mai
JalaHu coffee shop,18.7875809,98.9941751,Chiang Mai
Mi Cha Kafe thapae branch,18.7879598,98.9927909,Chiang Mai
Fatboi Coffee,18.7902273,98.9942558,Chiang Mai
กาแฟพันธุ์ไทย สาขาประตูท่าแพ,18.7874739,98.9939138,Chiang Mai
GRAPH’s roastery and warehouse,18.790011,98.9958567,Chiang Mai
Café Amazon คาเฟ่ อเมซอน สาขาท่าแพ,18.7880114,98.9944359,Chiang Mai
Heartening Coffee.Bar,18.7931252,98.9966674,Chiang Mai
A Cafe' CNX,18.7927878,98.9986098,Chiang Mai
TTT Tattoo Cafe,18.7848004,98.9948151,Chiang Mai
The Goodcery Space,18.7915497,98.9979225,Chiang Mai
ILY Cafe สาขาท่าแพ,18.7880319,98.9890099,Chiang Mai
ทราเวลคาเฟ่,18.7871025,98.9935589,Chiang Mai
Building A,18.787125,99.0072696,Chiang Mai
ร้านกาแฟวาวี​ สาขากาดหลวง,18.7895591,99.0025207,Chiang Mai
IN TOWN Cafe - อินทาวน์คาเฟ่ สาขาท่าแพ,18.7910811,98.9938066,Chiang Mai
Café Amazon @SCBท่าแพ,18.7874232,99.0008266,Chiang Mai
OWL Coffee & Bakery,18.7953062,98.9966118,Chiang Mai
Later on | cafe,18.7941088,99.0031515,Chiang Mai
bake n wake co-working space,18.78647,98.9986923,Chiang Mai
Cafe Willow,18.7929662,99.0016371,Chiang Mai
ร้านกาแฟ McClanahan,18.7878452,99.0054236,Chiang Mai
Good Day Farm to Table,18.7933928,98.9968275,Chiang Mai
ร้าน กาแฟดอยช้าง,18.7868315,98.9987306,Chiang Mai
Praise Cafe,18.7871957,99.0072099,Chiang Mai
โรงคั่วกาดหลวง KadluangRoaster วโรรส (CoffeeShop),18.7908476,99.0000144,Chiang Mai
ONCE Coffee And Bar,18.78535,98.9985142,Chiang Mai
Batch : baked and brew,18.7849253,98.9943846,Chiang Mai
TWENTY MAR,18.7892678,98.9879416,Chiang Mai
โกโก้เจ้มจ้น - เชียงใหม่ - Cocoa6,18.7880956,99.0011005,Chiang Mai
Stations cafe',18.7842618,98.9984908,Chiang Mai
Nice Sweet Place,18.7855067,98.9929318,Chiang Mai
8To18 Breakfast&Brew,18.7932061,98.9948453,Chiang Mai
Improvise coffee,18.776857,99.0042451,Chiang Mai
Nam'sCoffee&Smoothies,18.7883117,98.9996765,Chiang Mai
Cafe Boran,18.7898396,99.0011927,Chiang Mai
ซิกเนเจอร์ คอฟฟี่ signature coffee,18.7778791,98.9992313,Chiang Mai
Baan 104,18.7954317,99.0058078,Chiang Mai
สติวคอฟฟี่แอนด์ไลฟ์,18.7888258,99.001638,Chiang Mai
Absolutely Roti & Tea : โรตีป้าเด by ลาเจ,18.7846678,99.0012054,Chiang Mai
ikaa bistro [อี๊-ก่ะ บิสโตร],18.7880084,99.0010179,Chiang Mai
ปองกาเนส คอฟฟี่โรสเตอร์,18.7907046,98.9842166,Chiang Mai
Wake Up Coffee @ B2 Riverside Premier,18.7934618,99.0012918,Chiang Mai
ทอฝัน Thor-Phan Coffee Roaster,18.7886795,98.9802303,Chiang Mai
ร้าน เติมแฟ Slow bar,18.7921574,98.9980911,Chiang Mai
heap,18.7883473,98.9975702,Chiang Mai
Coffee-y,18.7883133,98.9973179,Chiang Mai
O.M.G. Coffee,18.783984,99.0029017,Chiang Mai
1 NATEE - 1นาที Miracle Coffee,18.7883112,98.997323,Chiang Mai
Minimal coffee แยกสนามบิน,18.7761071,98.9765191,Chiang Mai
elm house of coffee,18.7709621,98.9761848,Chiang Mai
delicafé ทองธนพล สาขาสนามบิน,18.7526062,98.9666588,Chiang Mai
Fuel Coffee สาขา มหิดล,18.7680997,98.9826916,Chiang Mai
Kanvela Craft Chocolate Cafe กานเวลา สาขาทางเข้ากองบิน41,18.7894764,98.963653,Chiang Mai
Beanbag coffee,18.7776294,98.9538033,Chiang Mai
Jardin d'ete Gelato and Dessert Cafe by Suan Paak,18.7705741,98.9741597,Chiang Mai
TOMMY CHEGU Coffee,18.7590804,99.014588,Chiang Mai
Artisan Cafe',18.7758084,98.9819988,Chiang Mai
MOKA CAFE CHIANGMAI,18.737011,98.9826742,Chiang Mai
LEECUP CAFE,18.7753434,98.9830824,Chiang Mai
paopao cafe’,18.7644229,98.9749756,Chiang Mai
รสนิยม กาแฟ (ในปั้ม พีที ขาออกหางดง),18.763359,98.9746246,Chiang Mai
Black Swan Cnx,18.7706278,98.9781485,Chiang Mai
STORIES Tha Phae Gate • cafe&bistro •,18.7876635,98.9930242,Chiang Mai
Mei Jiang,18.7651387,98.9935707,Chiang Mai
โซเลซ,18.7606573,98.971098,Chiang Mai
Koji Nakama Cafe & Bistro (โคจิ นาคามะ คาเฟ่ & บิสโทร),18.7702376,98.9768547,Chiang Mai
