name,lat,lon,open,close,type,province
สถานีวนวัฒนวิจัยบ่อแก้ว (สวนสนบ่อแก้ว),18.1562962,98.3884981,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
เฮือนสีมันตรา,18.5504478,98.904423,10:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
พิพิธภัณฑ์ตุ๊กตาเชียงใหม่,18.5765819,98.9215415,9:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
จังเกิ้ล เดอ คาเฟ่ สาขาบัฟฟาโล่ ไอแลนด์,18.679655,98.9637298,8:30,21:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
กาดเกรียงไกรมาหามิตร,18.910563,98.9469836,9:00,17:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
โป่งแยง จังเกิ้ล โคสเตอร์ ซิปไลน์,18.91687418,98.82156118,9:00,17:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
กาดต๋องตึง บ้านริมน้ำ,18.8372003,99.0127321,8:00,16:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
อาร์ต อิน พาราไดซ์ เชียงใหม่,18.7797141,99.0432217,9:00,19:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
วัน นิมมาน,18.80013194,98.96831149,11:00,21:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ตลาดนัดจริงใจ,18.8059859,98.995654,8:30,21:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
วัดถ้ำตับเตา,19.66259607,99.11758009,6:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยลังกาน้อย,18.965074,99.3118282,9:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
บ้านแม่ตะละเหนือ,18.9090936,98.4273777,6:00,17:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
Thepoe - เด๊อะโพ,19.0617058,98.277722,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
อะกิปุ แคมป์ปิ้ง,19.6003815,98.6160674,9:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
บอลลูน แอดเวนเจอร์ ไทยแลนด์ เชียงใหม่,18.8571525,99.101006,6:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
สวนส้มโจลี,18.7773687,98.8381655,8:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
สวนนา หน้าวัด,18.9102544,98.979613,6:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
วัดถ้ำดอยโตน,18.6603019,98.6411695,8:00,16:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
กาเนชา คาเฟ่ & ฟาร์ม เชียงใหม่,18.6179554,98.8811001,9:00,19:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ไร่เก๊กฮวยนายพล,18.7835186,99.0089141,6:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
น้ำตกโป่งสะแยง ,18.978506,98.2869478,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
วัดจันทร์ (วิหารแว่นตาดำ),19.0888343,98.3252705,9:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
สวนป่าดอยบ่อหลวง องค์การอุตสาหกรรมป่าไม้ ,18.1432841,98.3173545,11:00,14:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
บ้านแม่แมะ ,19.319374,98.89051,9:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ไร่สตรอเบอร์รี่ไผ่สีทอง ,18.8617191,98.7063446,8:00,17:30,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ถ้ำหลวงแม่สาบ ,18.8608521,98.7129272,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
พิพิธภัณฑ์พระพิฆเนศ ,18.5600687,98.8253544,9:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
แดนเทวดา,19.1231868,98.9421174,8:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
สวนส้มจินจู,18.9511337,98.8037319,8:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
กาดงัว (ตลาดนัดทุ่งฟ้าบด),18.6021982,98.8895857,6:00,12:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
แก่งกึ๊ด,19.2200732,98.8401509,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
เก๊าไม้ล้านนา,18.5663508,98.8742317,9:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ปางเปาบีช ,19.0773501,98.9090084,9:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ไร่ชาลุงเดช ,19.2059871,98.7949829,8:00,17:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
หมู่บ้านแม่ลาย ,18.8804409,99.3479384,11:00,24:00:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
เฮือนศรีมันตรา,18.573179,98.9024603,9:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
วัดตาดเหมยวณาราม,18.9226539,99.3642253,6:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
บ้านปางไฮ,18.9226859,99.3219072,8:30,16:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
สวนน้ำ ทูบเทรค เชียงใหม่,18.7648372,99.0970052,11:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
