name,lat,lon,capacity,power_kw,type,district,,,
PTT Station บจ.แม่โจ้ออยล์เซอร์วิส ตำบลหนองหาร  อำเภอสันทราย,18.8754465,99.0151005,2,120,DC,สันทราย,,,
PTT Station บจ.แม่โจ้ออยล์เซอร์วิส ตำบลหนองหาร  อำเภอสันทราย,18.8754465,99.0151005,1,22,AC,สันทราย,,,
สถานีชาร์จ Noodoe โรงแรมโนโวเทล เชียงใหม่ นิมมาน เจอร์นี่ย์ฮับ,18.806063,98.961813,2,7,AC,เมืองเชียงใหม่,,,
ปั๊มน้ำมันบางจาก แยกต้นเกว๋น (น้ำมัน+EV) - บริษัท จิน สเตชั่น จำกัด หางดง,18.713313,98.925938,2,120,DC,หางดง,,,
Pumpcharge Charging Station หนองหอย,18.773812,99.007312,4,22,AC,เมืองเชียงใหม่,,,
EleXA Charging Station ตำบลป่าแดด อำเภอเมืองเชียงใหม่,18.766188,98.975938,2,125,DC,เมืองเชียงใหม่,,,
สถานีชาร์จ Shell Recharge ถนนมหิดล ตำบลท่าศาลา,18.76125,98.99625,2,50,DC,เมืองเชียงใหม่,,,
EV Station PluZ Charging Station ถนนมหิดล ตำบลป่าแดด ,18.76625,98.99125,2,120,DC,เมืองเชียงใหม่,,,
EV Station PluZ Charging Station ถนนมหิดล ตำบลป่าแดด ,18.76625,98.99125,1,22,AC,เมืองเชียงใหม่,,,
สถานีชาร์จ Gentari ตำบลหนองหอย อำเภอเมืองเชียงใหม่ ,18.759813,99.017437,2,22,AC,เมืองเชียงใหม่,,,
EA ANYWHERE Charging Station ตำบลแม่สา อำเภอแม่ริม ,18.901063,98.950063,2,150,DC,แม่ริม ,,,
สถานีชาร์จ EleXA ตำบลสันผักหวาน อำเภอหางดง,18.72125,98.95875,2,180,DC,หางดง,,,
EA Anywhere Charging Station บริษัท ชนะศิลป์มอเตอร์ จำกัด,18.789938,99.024313,2,7,AC,เมืองเชียงใหม่,,,
EV charger station at Four O'clock Hotel,18.791812,98.954813,2,7,AC,เมืองเชียงใหม่,,,
EA Anywhere Charging Station KM Hotel Chiang Mai,18.763562,98.949938,2,22,AC,เมืองเชียงใหม่,,,
BMW Destination Charging Station ถนนนิมมานเหมินท์ ตำบลสุเทพ ,18.800312,98.968312,2,125,DC,เมืองเชียงใหม่,,,
BMW Destination Charging Station ถนนนิมมานเหมินท์ ตำบลสุเทพ ,18.800312,98.968312,1,22,AC,เมืองเชียงใหม่,,,
Pumpcharge Charging Statio การไฟฟ้าส่วนภูมิภาค ตำบลวัดเกต ,18.773812,99.007188,4,22,AC,เมืองเชียงใหม่,,,
Pumpcharge Charging Station บจก.พีค เพาเวอร์ มอเตอร์ จำกัด ตำบลหนองป่าครั่ง,18.776938,99.020437,4,22,AC,เมืองเชียงใหม่,,,
Pumpcharge Charging Station Tiger Kingdom ตำบลริมใต้ อำเภอแม่ริม,18.924813,98.932063,2,22,AC,แม่ริม ,,,
สถานีชาร์จ GINKA โรงจอดรถอาคารบางกอกพลาซ่า 2 โรงพยาบาลกรุงเทพเชียงใหม่ ,18.788187,99.026688,2,22,AC,เมืองเชียงใหม่,,,
PTT Charging Station สันกำแพง3 ตำบลสันกำแพง อำเภอสันกำแพง,18.7342,99.08907,2,120,DC,สันกำแพง,,,
PTT Charging Station สันกำแพง3 ตำบลสันกำแพง อำเภอสันกำแพง,18.7342,99.08907,1,22,AC,สันกำแพง,,,
PTT Charging Station บจ.ร่วมมิตรปิโตรเลียม ตำบลต้นเปา อำเภอสันกำแพง,18.751438,99.063063,2,120,DC,สันกำแพง,,,
PTT Charging Station บจ.ร่วมมิตรปิโตรเลียม ตำบลต้นเปา อำเภอสันกำแพง,18.751438,99.063063,1,22,AC,สันกำแพง,,,
PTT Charging Station บจ.ล้านพันแก้ว ออยล์ ตำบลสันกลาง อำเภอสันกำแพง,18.794671,99.036313,2,120,DC,สันกำแพง,,,
PTT Charging Station สายอ.แม่ริม เชียงใหม่-ลำปาง ตำบลท่าศาลา,18.834313,99.056438,2,120,DC,เมืองเชียงใหม่,,,
EVolt Charging Station เซ็นทรัล เชียงใหม่ แอร์พอร์ต,18.769312,98.975313,3,7,AC,เมืองเชียงใหม่,,,
EleXA Charging Station ตำบลต้นเปา อำเภอสันกำแพง,18.76875,99.06625,2,120,DC,สันกำแพง,,,
EVAT Charging Station ตำบลไชยสถาน อำเภอสารภี,18.748562,99.034063,1,7,AC,สารภี,,,
EleXA Charging Station ถ.สมโภชเชียงใหม่ 700 ปี ตำบลแม่เหียะ,18.739937,98.957687,2,120,DC,เมืองเชียงใหม่,,,
Evolt Charging Station ถนนมหิดล ตำบลหนองหอย ,18.75875,99.01125,2,120,DC,เมืองเชียงใหม่,,,
EleXA Charging Station ตำบลสันนาเม็ง อำเภอสันทราย,18.83875,99.06625,2,120,DC,สันทราย,,,
PTT Charging Station โรงแรมบีทู ช้างเผือก เกท พรีเมียร์ ถนนมณีนพรัตน์ ตำบลศรีภูมิ,18.795687,98.985438,2,120,DC,เมืองเชียงใหม่,,,
EVAT Charging Station โรงพยาบาลเชียงใหม่ ราม ,18.795063,98.977937,2,120,DC,เมืองเชียงใหม่,,,
